tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047021700",Crown Heights North,"3843","2276",173.000000000000000,"1104",517.000000000000000,"35391","641",,"3733",,,,,"61466","1176",,4.248496072000000,-0.371525796000000,1.714049144000000,0.736769235000000,0.834633385000000,"0",1.020132600000000,2.258680900000000,1.459418300000000,0.717650000000000,"1","0","0","1"
"36047021800",Borough Park,"3785","1773",3222.000000000000000,"657",322.000000000000000,"37446","738",,"3128",,,,,"31047","1448",,0.046671917000000,-0.569496024000000,-0.022950390000000,-0.170886076000000,0.962059621000000,"0",-1.980057230000000,-0.867393430000000,-1.625142180000000,-2.354770120000000,"0","0","0","1"
"36047021900",Crown Heights North,"3820","2387",28.000000000000000,"963",413.000000000000000,"29013","666",,"3557",,,,,"72440","1661",,42.110968309999997,0.018104794000000,2.445445022000000,1.496811774000000,1.493993994000000,"0",3.288109800000000,3.712318400000000,3.029878900000000,2.275506400000000,"1","0","0","1"
"36047022000",Borough Park,"4452","2305",3707.000000000000000,"981",251.000000000000000,"30341","722",,"4776",,,,,"32088","1584",,-0.001453857000000,-0.579366634000000,0.076998539000000,0.057578854000000,1.193905817000000,"0",-1.524960390000000,-0.587679300000000,-1.338837100000000,-2.081139340000000,"0","0","0","0"
"36047022100",Crown Heights North,"3928","2579",132.000000000000000,"930",246.000000000000000,"26058","582",,"3976",,,,,"54898","1412",,11.184439970000000,0.251251055000000,5.015916638000000,1.106761839000000,1.426116838000000,,3.446420400000000,4.012105000000000,3.278536900000000,2.515414900000000,"1","1","1","1"
"36047022200",Borough Park,"4719","2520",4017.000000000000000,"912",350.000000000000000,"30153","751",,"4008",,,,,"33088","1383",,0.119067690000000,-0.465017334000000,0.214399059000000,0.097336915000000,0.841544607000000,"0",-1.216666010000000,-0.338186940000000,-1.099670190000000,-1.853259050000000,"0","0","0","1"
"36047022400",Borough Park,"4943","2673",2980.000000000000000,"1189",350.000000000000000,"35000","682",,"5785",,,,,"47995","1460",,0.328700237000000,-0.598954693000000,0.699137177000000,0.371285714000000,1.140762463000000,"0",-0.642414750000000,0.139213000000000,-0.613194250000000,-1.353859830000000,"0","0","1","1"
"36047022600",Borough Park,"2560","1376",661.000000000000000,"744",127.000000000000000,"25938","657",,"2233",,,,,"46611","1449",,1.188815410000000,-0.390414554000000,0.886660719000000,0.797015961000000,1.205479452000000,,0.424070100000000,0.987556700000000,0.228050000000000,-0.578155710000000,"1","1","1","0"
"36047022700",Clinton Hill,"3476","2242",144.000000000000000,"826",289.000000000000000,"38649","587",,"3794",,,,,"95882","1875",,8.944407837000000,0.010166428000000,4.633418638000000,1.480840384000000,2.194207836000000,,3.512481700000000,3.945283900000000,3.207964400000000,2.475299200000000,"1","1","1","1"
"36047022800",Borough Park,"3353","1630",1676.000000000000000,"655",232.000000000000000,"23508","657",,"3627",,,,,"35985","1305",,0.375099937000000,-0.346815761000000,0.390667931000000,0.530755487000000,0.986301370000000,"0",-0.327790160000000,0.406846700000000,-0.358769980000000,-1.143915140000000,"1","0","1","1"
